relative_path	file_name	extension	size_bytes	source_archive	proposed_action	action_reason	potential_sensitive_information	potential_third_party_restriction
config/figure_contract.yaml	figure_contract.yaml	.yaml	3263	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
config/manuscript.yaml	manuscript.yaml	.yaml	4229	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
config/schema.json	schema.json	.json	14938	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
data/README.md	README.md	.md	1212	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
data/SHA256SUMS	SHA256SUMS		3019	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
data/external_archive_manifest.tsv	external_archive_manifest.tsv	.tsv	109174	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
data/manifest.tsv	manifest.tsv	.tsv	10007	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
data/metadata/asset-rights.tsv	asset-rights.tsv	.tsv	6374	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
data/metadata/manual_decisions.tsv	manual_decisions.tsv	.tsv	9294	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
data/metadata/systems.tsv	systems.tsv	.tsv	19333	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
data/posthoc/md_evidence.csv	md_evidence.csv	.csv	3688	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/posthoc/redocking_evidence.csv	redocking_evidence.csv	.csv	3175	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/posthoc/reference_annotations.csv	reference_annotations.csv	.csv	1195	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/static/tool_pocket_features.csv	tool_pocket_features.csv	.csv	490125	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/1a9m_paired.pdb	1a9m_paired.pdb	.pdb	128205	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/1fap_paired.pdb	1fap_paired.pdb	.pdb	170500	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/1hih_paired.pdb	1hih_paired.pdb	.pdb	127140	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/1hsg_paired.pdb	1hsg_paired.pdb	.pdb	127398	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/1shl_paired.pdb	1shl_paired.pdb	.pdb	129396	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/1tco_paired.pdb	1tco_paired.pdb	.pdb	413751	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/3dji_paired.pdb	3dji_paired.pdb	.pdb	212567	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/4w9h_paired.pdb	4w9h_paired.pdb	.pdb	430179	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/5j89_paired.pdb	5j89_paired.pdb	.pdb	314423	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/5lge_paired.pdb	5lge_paired.pdb	.pdb	1077782	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/5niu_paired.pdb	5niu_paired.pdb	.pdb	163929	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/5tbm_paired.cif	5tbm_paired.cif	.cif	132897	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/6e3s_paired.pdb	6e3s_paired.pdb	.pdb	712104	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/6r3k_paired.pdb	6r3k_paired.pdb	.pdb	161310	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/6wkq_paired.pdb	6wkq_paired.pdb	.pdb	545104	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/7bea_paired.pdb	7bea_paired.pdb	.pdb	158142	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/7jra_paired.pdb	7jra_paired.pdb	.pdb	273776	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/7o2i_paired.pdb	7o2i_paired.pdb	.pdb	583488	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/8ea7_paired.pdb	8ea7_paired.pdb	.pdb	320821	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/8p1o_paired.pdb	8p1o_paired.pdb	.pdb	167906	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
data/structures/8se5_paired.pdb	8se5_paired.pdb	.pdb	317417	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	requires_manual_review
docs/data-dictionary.md	data-dictionary.md	.md	35990	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
docs/journal-statements.md	journal-statements.md	.md	7151	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
docs/limitations.md	limitations.md	.md	9993	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
docs/methods.md	methods.md	.md	12836	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
docs/oips-formula.md	oips-formula.md	.md	19409	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
docs/provenance.md	provenance.md	.md	10589	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
docs/superpowers/plans/2026-07-17-oips-github-reproducibility.md	2026-07-17-oips-github-reproducibility.md	.md	50209	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	exclude	internal development record	requires_scan	none_identified
docs/superpowers/specs/2026-07-17-oips-github-reproducibility-design.md	2026-07-17-oips-github-reproducibility-design.md	.md	17735	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	exclude	internal development record	requires_scan	none_identified
environment/README.md	README.md	.md	407	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
environment/constraints.txt	constraints.txt	.txt	700	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
environment/environment.yml	environment.yml	.yml	242	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
examples/toy/README.md	README.md	.md	993	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
examples/toy/config/figure_contract.yaml	figure_contract.yaml	.yaml	2903	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
examples/toy/config/manuscript.yaml	manuscript.yaml	.yaml	4199	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
examples/toy/config/schema.json	schema.json	.json	14938	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
examples/toy/data/README.md	README.md	.md	325	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
examples/toy/data/SHA256SUMS	SHA256SUMS		1145	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
examples/toy/data/external_archive_manifest.tsv	external_archive_manifest.tsv	.tsv	562	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
examples/toy/data/manifest.tsv	manifest.tsv	.tsv	2944	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
examples/toy/data/metadata/asset-rights.tsv	asset-rights.tsv	.tsv	1341	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
examples/toy/data/metadata/systems.tsv	systems.tsv	.tsv	2224	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
examples/toy/data/posthoc/md_evidence.csv	md_evidence.csv	.csv	155	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
examples/toy/data/posthoc/redocking_evidence.csv	redocking_evidence.csv	.csv	276	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
examples/toy/data/posthoc/reference_annotations.csv	reference_annotations.csv	.csv	247	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
examples/toy/data/static/tool_pocket_features.csv	tool_pocket_features.csv	.csv	1566	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
examples/toy/data/structures/4w9h_toy.pdb	4w9h_toy.pdb	.pdb	545	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
examples/toy/data/structures/5j89_toy.pdb	5j89_toy.pdb	.pdb	545	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
examples/toy/data/structures/5tbm_toy.pdb	5tbm_toy.pdb	.pdb	545	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
examples/toy/expected_summary.json	expected_summary.json	.json	5095	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
examples/toy/legacy/working-cluster-to-cluster-v2.csv	working-cluster-to-cluster-v2.csv	.csv	183	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
figures/manuscript/figure1_candidate_landscape.svg	figure1_candidate_landscape.svg	.svg	61433	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
figures/manuscript/figure2_qc_and_orel_ablation.svg	figure2_qc_and_orel_ablation.svg	.svg	49150	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
figures/manuscript/figure3_posthoc_evidence.svg	figure3_posthoc_evidence.svg	.svg	50469	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
figures/manuscript/figure4_representative_cases.svg	figure4_representative_cases.svg	.svg	45318	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
legacy/working-cluster-to-cluster-v2.csv	working-cluster-to-cluster-v2.csv	.csv	58430	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
pyproject.toml	pyproject.toml	.toml	674	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
release/manifest.json	manifest.json	.json	15312	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/analysis/final_automated_evidence_labels.csv	final_automated_evidence_labels.csv	.csv	183619	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/analysis/final_bootstrap_intervals.csv	final_bootstrap_intervals.csv	.csv	1297	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/analysis/final_candidate_prioritization_metrics.csv	final_candidate_prioritization_metrics.csv	.csv	387	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/analysis/final_category_metrics.csv	final_category_metrics.csv	.csv	570	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/analysis/final_cluster_v2_master_table.csv	final_cluster_v2_master_table.csv	.csv	589430	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/analysis/final_family_sensitivity.csv	final_family_sensitivity.csv	.csv	1454	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/analysis/final_md_cluster_v2_mapping.csv	final_md_cluster_v2_mapping.csv	.csv	7182	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/analysis/final_orel_ablation_categories.csv	final_orel_ablation_categories.csv	.csv	666	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/analysis/final_orel_ablation_targets.csv	final_orel_ablation_targets.csv	.csv	2796	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/analysis/final_redocking_cluster_v2_mapping.csv	final_redocking_cluster_v2_mapping.csv	.csv	3508	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/analysis/final_reference_mapping.csv	final_reference_mapping.csv	.csv	206177	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/analysis/final_top3_automated_QC.csv	final_top3_automated_QC.csv	.csv	20282	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/analysis/orel_ablation_cluster_rankings.csv	orel_ablation_cluster_rankings.csv	.csv	28957	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/analysis/representative_case_results.csv	representative_case_results.csv	.csv	743	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/analysis/target_level_candidate_prioritization.csv	target_level_candidate_prioritization.csv	.csv	2751	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/analysis/unresolved_cases.csv	unresolved_cases.csv	.csv	24291	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/clustering/cluster_v2_boundary_audit.csv	cluster_v2_boundary_audit.csv	.csv	50301	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/clustering/cluster_v2_candidates.csv	cluster_v2_candidates.csv	.csv	378036	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/clustering/cluster_v2_membership.csv	cluster_v2_membership.csv	.csv	109692	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/clustering/excluded_unmappable_records.csv	excluded_unmappable_records.csv	.csv	15945	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/clustering/tool_record_to_cluster_v2_mapping.csv	tool_record_to_cluster_v2_mapping.csv	.csv	216177	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/figure_source_data/figure1_candidate_landscape_source_data.csv	figure1_candidate_landscape_source_data.csv	.csv	7154	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/figure_source_data/figure2_qc_and_orel_ablation_source_data.csv	figure2_qc_and_orel_ablation_source_data.csv	.csv	6848	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/figure_source_data/figure3_posthoc_evidence_source_data.csv	figure3_posthoc_evidence_source_data.csv	.csv	3458	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/figure_source_data/figure4_representative_cases_source_data.csv	figure4_representative_cases_source_data.csv	.csv	2050	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/reports/analysis_report.md	analysis_report.md	.md	48774	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/reports/numeric_crosscheck.md	numeric_crosscheck.md	.md	3594	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/reports/rebuild_report.md	rebuild_report.md	.md	9376	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/reports/validation_report.md	validation_report.md	.md	1675	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/static/cluster_v2_master_table.csv	cluster_v2_master_table.csv	.csv	466821	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reference/static/cluster_v2_static_rankings.csv	cluster_v2_static_rankings.csv	.csv	487121	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
results/reproduced/.gitkeep	.gitkeep		1	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
scripts/build_release_manifest.py	build_release_manifest.py	.py	8393	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
scripts/prepare_public_data.py	prepare_public_data.py	.py	21905	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
scripts/public_data_inventory.py	public_data_inventory.py	.py	9639	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
scripts/public_data_tables.py	public_data_tables.py	.py	17151	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
scripts/release_check.py	release_check.py	.py	26076	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
src/oips_repro/__init__.py	__init__.py	.py	59	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
src/oips_repro/__main__.py	__main__.py	.py	115	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
src/oips_repro/cli.py	cli.py	.py	36502	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
src/oips_repro/clustering.py	clustering.py	.py	31098	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
src/oips_repro/config.py	config.py	.py	15581	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
src/oips_repro/figures.py	figures.py	.py	27066	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
src/oips_repro/io.py	io.py	.py	23929	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
src/oips_repro/posthoc.py	posthoc.py	.py	47796	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
src/oips_repro/provenance.py	provenance.py	.py	29035	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
src/oips_repro/release.py	release.py	.py	4722	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
src/oips_repro/reports.py	reports.py	.py	18158	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
