asset_id	scientific_role	local_path_or_url	repository	persistent_id	sha256	bytes	media_type	license_or_terms	access_status	source_version_or_date
structure-4w9h	prepared paired structure	data/structures/4w9h_paired.pdb	GitHub repository	https://doi.org/10.2210/pdb4W9H/pdb	9566d7bdbd1d423169b0901406c839e211882c0775546532a346902b64089a09	430179	chemical/x-pdb	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
structure-5j89	prepared paired structure	data/structures/5j89_paired.pdb	GitHub repository	https://doi.org/10.2210/pdb5J89/pdb	08f54a34b67c1fa110f77e92f389c1bdadd0c6fb42fb182d403e733aef169f13	314423	chemical/x-pdb	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
structure-5lge	prepared paired structure	data/structures/5lge_paired.pdb	GitHub repository	https://doi.org/10.2210/pdb5LGE/pdb	18604010c23b4f33050c8032348c8e72a8a8f7f0bb3c19bfc6a2f535548c552e	1077782	chemical/x-pdb	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
structure-5niu	prepared paired structure	data/structures/5niu_paired.pdb	GitHub repository	https://doi.org/10.2210/pdb5NIU/pdb	99a7b5d50659f5a63552700806b324ed0c29eff62c12ccadf9f8e80ce83d6ba2	163929	chemical/x-pdb	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
structure-5tbm	prepared paired structure	data/structures/5tbm_paired.cif	GitHub repository	https://doi.org/10.2210/pdb5TBM/pdb	106d7ed448960d6677c4a6879b29efd36bf0436e1805361d6322e679a95e8db8	132897	chemical/x-mmcif	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
structure-6e3s	prepared paired structure	data/structures/6e3s_paired.pdb	GitHub repository	https://doi.org/10.2210/pdb6E3S/pdb	28f54c500e66b33ed4e649d7c5f0999d637d86bda07637f3c46da629eeb779fe	712104	chemical/x-pdb	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
structure-6r3k	prepared paired structure	data/structures/6r3k_paired.pdb	GitHub repository	https://doi.org/10.2210/pdb6R3K/pdb	bde1d444ce440e8d4980bccd84a68bc67e85d3143de2d156cc15e986f4fff793	161310	chemical/x-pdb	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
structure-6wkq	prepared paired structure	data/structures/6wkq_paired.pdb	GitHub repository	https://doi.org/10.2210/pdb6WKQ/pdb	283c47dc17bca313539b3986579e223eb8ade95033d8b719ed0d59fc94efa2b9	545104	chemical/x-pdb	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
structure-7bea	prepared paired structure	data/structures/7bea_paired.pdb	GitHub repository	https://doi.org/10.2210/pdb7BEA/pdb	074041613f7d108b1d96a1b4ea53bd070bf867dd7525ce555f66374e9006ad01	158142	chemical/x-pdb	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
structure-7jra	prepared paired structure	data/structures/7jra_paired.pdb	GitHub repository	https://doi.org/10.2210/pdb7JRA/pdb	02a925728d19cf0e18ffa2dbc7f36babfe8179b92d35e36becf195d0eac49638	273776	chemical/x-pdb	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
structure-7o2i	prepared paired structure	data/structures/7o2i_paired.pdb	GitHub repository	https://doi.org/10.2210/pdb7O2I/pdb	e447a7c03356af2d05586839b7fd46ca8af100dffd4aa32b348540fdec96d5c3	583488	chemical/x-pdb	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
structure-8ea7	prepared paired structure	data/structures/8ea7_paired.pdb	GitHub repository	https://doi.org/10.2210/pdb8EA7/pdb	779318fa57e0a23ecb61c575932217459dc0ca68d35939752fee971e0e504f98	320821	chemical/x-pdb	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
structure-8p1o	prepared paired structure	data/structures/8p1o_paired.pdb	GitHub repository	https://doi.org/10.2210/pdb8P1O/pdb	4563993fef1266b2d19ee62283c170153d4f0bcd78ef3e87f19e56a85985647f	167906	chemical/x-pdb	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
structure-8se5	prepared paired structure	data/structures/8se5_paired.pdb	GitHub repository	https://doi.org/10.2210/pdb8SE5/pdb	25a193eb06a639dab10ecd8d9e10834fd0f59a47a132f0802b4f447e8d4f85a6	317417	chemical/x-pdb	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
