pdb_id,cluster_v2_id,tool,same_tool_unit_id,raw_row_id,raw_pocket_id,formal_tool_representative,representative_pocket_id,formal_vote_count
1A9M,1A9M_V2C018,CASTpFold,1A9M_CASTpFold_U014,700,14,true,14,1
1A9M,1A9M_V2C019,CASTpFold,1A9M_CASTpFold_U011,697,11,true,11,1
1A9M,1A9M_V2C020,CASTpFold,1A9M_CASTpFold_U017,703,17,true,17,1
1A9M,1A9M_V2C021,CASTpFold,1A9M_CASTpFold_U010,696,10,true,10,1
1FAP,1FAP_V2C001,CASTpFold,1FAP_CASTpFold_U002,641,2,true,2,1
1FAP,1FAP_V2C001,CASTpFold,1FAP_CASTpFold_U009,649,10,false,2,0
1FAP,1FAP_V2C001,CavityPlus,1FAP_CavityPlus_U002,1433,Cavity_2,false,Cavity_3,0
1FAP,1FAP_V2C001,CavityPlus,1FAP_CavityPlus_U003,1434,Cavity_3,true,Cavity_3,1
1FAP,1FAP_V2C001,DoGSite3,1FAP_DoGSite3_U006,448,P_6,true,P_6,1
1FAP,1FAP_V2C001,DoGSiteScorer,1FAP_DoGSiteScorer_U004,4,P_1,true,P_1,1
1FAP,1FAP_V2C001,DoGSiteScorer,1FAP_DoGSiteScorer_U004,5,P_1_0,false,P_1,0
1FAP,1FAP_V2C001,DoGSiteScorer,1FAP_DoGSiteScorer_U005,6,P_1_1,false,P_1,0
1FAP,1FAP_V2C001,SiteMap,1FAP_SiteMap_U005,1644,SM05_site_3,true,SM05_site_3,1
1FAP,1FAP_V2C002,CASTpFold,1FAP_CASTpFold_U019,660,21,true,21,1
1FAP,1FAP_V2C002,CavityPlus,1FAP_CavityPlus_U001,1432,Cavity_1,true,Cavity_1,1
1FAP,1FAP_V2C002,DoGSite3,1FAP_DoGSite3_U001,443,P_1,true,P_1,1
1FAP,1FAP_V2C002,DoGSite3,1FAP_DoGSite3_U007,449,P_7,false,P_1,0
1FAP,1FAP_V2C002,DoGSiteScorer,1FAP_DoGSiteScorer_U001,0,P_0,true,P_0,1
1FAP,1FAP_V2C002,DoGSiteScorer,1FAP_DoGSiteScorer_U001,1,P_0_0,false,P_0,0
1FAP,1FAP_V2C002,SiteMap,1FAP_SiteMap_U002,1641,SM02_compact_site_1,true,SM02_compact_site_1,1
1FAP,1FAP_V2C003,CASTpFold,1FAP_CASTpFold_U001,640,1,true,1,1
1FAP,1FAP_V2C003,DoGSite3,1FAP_DoGSite3_U002,444,P_2,true,P_2,1
1FAP,1FAP_V2C003,DoGSiteScorer,1FAP_DoGSiteScorer_U002,2,P_0_1,true,P_0_1,1
1FAP,1FAP_V2C003,SiteMap,1FAP_SiteMap_U003,1642,SM03_compact_site_6,true,SM03_compact_site_6,1
1FAP,1FAP_V2C004,DoGSite3,1FAP_DoGSite3_U003,445,P_3,true,P_3,1
1FAP,1FAP_V2C004,DoGSiteScorer,1FAP_DoGSiteScorer_U006,7,P_2,true,P_2,1
1FAP,1FAP_V2C004,SiteMap,1FAP_SiteMap_U001,1640,SM01_site_2,true,SM01_site_2,1
1FAP,1FAP_V2C005,CASTpFold,1FAP_CASTpFold_U003,642,3,true,3,1
1FAP,1FAP_V2C005,CavityPlus,1FAP_CavityPlus_U004,1435,Cavity_4,true,Cavity_4,1
1FAP,1FAP_V2C005,DoGSiteScorer,1FAP_DoGSiteScorer_U007,8,P_3,true,P_3,1
1FAP,1FAP_V2C006,DoGSite3,1FAP_DoGSite3_U004,446,P_4,true,P_4,1
1FAP,1FAP_V2C006,DoGSite3,1FAP_DoGSite3_U005,447,P_5,false,P_4,0
1FAP,1FAP_V2C006,DoGSiteScorer,1FAP_DoGSiteScorer_U003,3,P_0_2,true,P_0_2,1
1FAP,1FAP_V2C006,DoGSiteScorer,1FAP_DoGSiteScorer_U008,9,P_4,false,P_0_2,0
1FAP,1FAP_V2C006,SiteMap,1FAP_SiteMap_U004,1643,SM04_compact_site_2,true,SM04_compact_site_2,1
1FAP,1FAP_V2C007,CASTpFold,1FAP_CASTpFold_U005,644,5,true,5,1
1FAP,1FAP_V2C007,CASTpFold,1FAP_CASTpFold_U005,648,9,false,5,0
1FAP,1FAP_V2C007,CavityPlus,1FAP_CavityPlus_U005,1436,Cavity_5,true,Cavity_5,1
1FAP,1FAP_V2C007,DoGSiteScorer,1FAP_DoGSiteScorer_U010,11,P_6,true,P_6,1
1FAP,1FAP_V2C008,CASTpFold,1FAP_CASTpFold_U004,643,4,true,4,1
1FAP,1FAP_V2C008,DoGSite3,1FAP_DoGSite3_U008,450,P_8,true,P_8,1
1FAP,1FAP_V2C009,CASTpFold,1FAP_CASTpFold_U006,645,6,false,7,0
1FAP,1FAP_V2C009,CASTpFold,1FAP_CASTpFold_U007,646,7,true,7,1
1FAP,1FAP_V2C009,SiteMap,1FAP_SiteMap_U006,1645,SM06_site_4,true,SM06_site_4,1
1FAP,1FAP_V2C010,CASTpFold,1FAP_CASTpFold_U017,657,18,true,18,1
1FAP,1FAP_V2C011,CASTpFold,1FAP_CASTpFold_U018,658,19,true,19,1
1FAP,1FAP_V2C012,CASTpFold,1FAP_CASTpFold_U014,654,15,true,15,1
1FAP,1FAP_V2C013,CASTpFold,1FAP_CASTpFold_U010,650,11,true,11,1
1FAP,1FAP_V2C014,CASTpFold,1FAP_CASTpFold_U012,652,13,true,13,1
1FAP,1FAP_V2C015,DoGSiteScorer,1FAP_DoGSiteScorer_U009,10,P_5,true,P_5,1
1FAP,1FAP_V2C016,CASTpFold,1FAP_CASTpFold_U013,653,14,true,14,1
1FAP,1FAP_V2C016,CASTpFold,1FAP_CASTpFold_U013,659,20,false,14,0
1FAP,1FAP_V2C017,CASTpFold,1FAP_CASTpFold_U011,651,12,true,12,1
1FAP,1FAP_V2C018,CASTpFold,1FAP_CASTpFold_U008,647,8,true,8,1
1FAP,1FAP_V2C019,CASTpFold,1FAP_CASTpFold_U016,656,17,true,17,1
1FAP,1FAP_V2C020,CASTpFold,1FAP_CASTpFold_U015,655,16,true,16,1
1HIH,1HIH_V2C001,CASTpFold,1HIH_CASTpFold_U004,710,4,true,4,1
1HIH,1HIH_V2C001,CASTpFold,1HIH_CASTpFold_U005,711,5,false,4,0
1HIH,1HIH_V2C001,CavityPlus,1HIH_CavityPlus_U003,1449,Cavity_3,true,Cavity_3,1
1HIH,1HIH_V2C001,DoGSiteScorer,1HIH_DoGSiteScorer_U005,37,P_2,true,P_2,1
1HIH,1HIH_V2C001,DoGSiteScorer,1HIH_DoGSiteScorer_U005,38,P_2_0,false,P_2,0
1HIH,1HIH_V2C001,DoGSiteScorer,1HIH_DoGSiteScorer_U005,39,P_2_1,false,P_2,0
1HIH,1HIH_V2C001,SiteMap,1HIH_SiteMap_U003,1648,SM03_site_3,true,SM03_site_3,1
1HIH,1HIH_V2C002,CASTpFold,1HIH_CASTpFold_U002,708,2,true,2,1
1HIH,1HIH_V2C002,CASTpFold,1HIH_CASTpFold_U007,713,7,false,2,0
1HIH,1HIH_V2C002,CavityPlus,1HIH_CavityPlus_U002,1448,Cavity_2,true,Cavity_2,1
1HIH,1HIH_V2C002,DoGSiteScorer,1HIH_DoGSiteScorer_U004,34,P_1,true,P_1,1
1HIH,1HIH_V2C002,DoGSiteScorer,1HIH_DoGSiteScorer_U004,35,P_1_0,false,P_1,0
1HIH,1HIH_V2C002,DoGSiteScorer,1HIH_DoGSiteScorer_U004,36,P_1_1,false,P_1,0
1HIH,1HIH_V2C003,CASTpFold,1HIH_CASTpFold_U003,709,3,true,3,1
1HIH,1HIH_V2C003,CavityPlus,1HIH_CavityPlus_U005,1451,Cavity_5,true,Cavity_5,1
1HIH,1HIH_V2C003,DoGSite3,1HIH_DoGSite3_U002,459,P_2,true,P_2,1
1HIH,1HIH_V2C004,CASTpFold,1HIH_CASTpFold_U001,707,1,true,1,1
1HIH,1HIH_V2C004,CavityPlus,1HIH_CavityPlus_U001,1447,Cavity_1,true,Cavity_1,1
1HIH,1HIH_V2C004,DoGSite3,1HIH_DoGSite3_U001,458,P_1,true,P_1,1
1HIH,1HIH_V2C005,CASTpFold,1HIH_CASTpFold_U009,715,9,true,9,1
1HIH,1HIH_V2C005,CASTpFold,1HIH_CASTpFold_U015,721,15,false,9,0
1HIH,1HIH_V2C005,CavityPlus,1HIH_CavityPlus_U004,1450,Cavity_4,true,Cavity_4,1
1HIH,1HIH_V2C005,DoGSiteScorer,1HIH_DoGSiteScorer_U006,40,P_3,true,P_3,1
1HIH,1HIH_V2C005,DoGSiteScorer,1HIH_DoGSiteScorer_U006,41,P_3_0,false,P_3,0
1HIH,1HIH_V2C005,DoGSiteScorer,1HIH_DoGSiteScorer_U006,42,P_3_1,false,P_3,0
1HIH,1HIH_V2C006,DoGSiteScorer,1HIH_DoGSiteScorer_U001,30,P_0,true,P_0,1
1HIH,1HIH_V2C006,DoGSiteScorer,1HIH_DoGSiteScorer_U001,31,P_0_0,false,P_0,0
1HIH,1HIH_V2C006,DoGSiteScorer,1HIH_DoGSiteScorer_U002,32,P_0_1,false,P_0,0
1HIH,1HIH_V2C006,SiteMap,1HIH_SiteMap_U001,1646,SM01_site_1,true,SM01_site_1,1
1HIH,1HIH_V2C007,CASTpFold,1HIH_CASTpFold_U008,714,8,true,8,1
1HIH,1HIH_V2C007,SiteMap,1HIH_SiteMap_U002,1647,SM02_site_2,true,SM02_site_2,1
1HIH,1HIH_V2C008,DoGSite3,1HIH_DoGSite3_U003,460,P_3,true,P_3,1
1HIH,1HIH_V2C009,CASTpFold,1HIH_CASTpFold_U019,726,20,true,20,1
1HIH,1HIH_V2C010,CASTpFold,1HIH_CASTpFold_U014,720,14,true,14,1
1HIH,1HIH_V2C011,CASTpFold,1HIH_CASTpFold_U010,716,10,true,10,1
1HIH,1HIH_V2C012,DoGSiteScorer,1HIH_DoGSiteScorer_U003,33,P_0_2,true,P_0_2,1
1HIH,1HIH_V2C013,CASTpFold,1HIH_CASTpFold_U006,712,6,true,6,1
1HIH,1HIH_V2C014,CASTpFold,1HIH_CASTpFold_U012,718,12,true,12,1
1HIH,1HIH_V2C015,CASTpFold,1HIH_CASTpFold_U017,723,17,true,17,1
1HIH,1HIH_V2C016,CASTpFold,1HIH_CASTpFold_U011,717,11,true,11,1
1HIH,1HIH_V2C017,CASTpFold,1HIH_CASTpFold_U013,719,13,true,13,1
1HIH,1HIH_V2C018,CASTpFold,1HIH_CASTpFold_U018,724,18,true,18,1
1HIH,1HIH_V2C018,CASTpFold,1HIH_CASTpFold_U018,725,19,false,18,0
1HIH,1HIH_V2C019,CASTpFold,1HIH_CASTpFold_U016,722,16,true,16,1
1HSG,1HSG_V2C001,CASTpFold,1HSG_CASTpFold_U001,727,1,true,1,1
1HSG,1HSG_V2C001,CavityPlus,1HSG_CavityPlus_U001,1452,Cavity_1,true,Cavity_1,1
1HSG,1HSG_V2C001,DoGSite3,1HSG_DoGSite3_U001,461,P_1,true,P_1,1
1HSG,1HSG_V2C001,DoGSiteScorer,1HSG_DoGSiteScorer_U001,43,P_0,true,P_0,1
1HSG,1HSG_V2C001,SiteMap,1HSG_SiteMap_U001,1649,SM01_site_1,true,SM01_site_1,1
1HSG,1HSG_V2C002,CASTpFold,1HSG_CASTpFold_U006,732,6,true,6,1
1HSG,1HSG_V2C002,CavityPlus,1HSG_CavityPlus_U003,1454,Cavity_3,true,Cavity_3,1
1HSG,1HSG_V2C002,DoGSiteScorer,1HSG_DoGSiteScorer_U004,50,P_3,true,P_3,1
1HSG,1HSG_V2C003,CASTpFold,1HSG_CASTpFold_U003,729,3,true,3,1
1HSG,1HSG_V2C003,CASTpFold,1HSG_CASTpFold_U017,743,17,false,3,0
1HSG,1HSG_V2C003,CavityPlus,1HSG_CavityPlus_U002,1453,Cavity_2,true,Cavity_2,1
1HSG,1HSG_V2C003,DoGSiteScorer,1HSG_DoGSiteScorer_U002,44,P_1,true,P_1,1
1HSG,1HSG_V2C003,DoGSiteScorer,1HSG_DoGSiteScorer_U002,45,P_1_0,false,P_1,0
1HSG,1HSG_V2C003,DoGSiteScorer,1HSG_DoGSiteScorer_U002,46,P_1_1,false,P_1,0
1HSG,1HSG_V2C004,CavityPlus,1HSG_CavityPlus_U005,1456,Cavity_5,true,Cavity_5,1
1HSG,1HSG_V2C004,DoGSiteScorer,1HSG_DoGSiteScorer_U005,51,P_4,true,P_4,1
1HSG,1HSG_V2C005,CASTpFold,1HSG_CASTpFold_U002,728,2,true,2,1
1HSG,1HSG_V2C005,CASTpFold,1HSG_CASTpFold_U009,735,9,false,2,0
1HSG,1HSG_V2C005,DoGSite3,1HSG_DoGSite3_U003,463,P_3,true,P_3,1
1HSG,1HSG_V2C006,CASTpFold,1HSG_CASTpFold_U008,734,8,true,8,1
1HSG,1HSG_V2C007,CASTpFold,1HSG_CASTpFold_U010,736,10,true,10,1
1HSG,1HSG_V2C007,CASTpFold,1HSG_CASTpFold_U010,744,18,false,10,0
1HSG,1HSG_V2C008,CASTpFold,1HSG_CASTpFold_U011,737,11,true,11,1
1HSG,1HSG_V2C009,CASTpFold,1HSG_CASTpFold_U014,740,14,true,14,1
1HSG,1HSG_V2C010,CavityPlus,1HSG_CavityPlus_U004,1455,Cavity_4,true,Cavity_4,1
1HSG,1HSG_V2C011,CASTpFold,1HSG_CASTpFold_U015,741,15,true,15,1
1HSG,1HSG_V2C012,DoGSiteScorer,1HSG_DoGSiteScorer_U003,47,P_2,true,P_2,1
1HSG,1HSG_V2C012,DoGSiteScorer,1HSG_DoGSiteScorer_U003,48,P_2_0,false,P_2,0
1HSG,1HSG_V2C012,DoGSiteScorer,1HSG_DoGSiteScorer_U003,49,P_2_1,false,P_2,0
1HSG,1HSG_V2C013,CASTpFold,1HSG_CASTpFold_U013,739,13,true,13,1
1HSG,1HSG_V2C014,CASTpFold,1HSG_CASTpFold_U004,730,4,true,4,1
1HSG,1HSG_V2C015,CASTpFold,1HSG_CASTpFold_U007,733,7,true,7,1
1HSG,1HSG_V2C016,CASTpFold,1HSG_CASTpFold_U005,731,5,true,5,1
1HSG,1HSG_V2C017,CASTpFold,1HSG_CASTpFold_U016,742,16,true,16,1
1HSG,1HSG_V2C018,DoGSite3,1HSG_DoGSite3_U002,462,P_2,true,P_2,1
1HSG,1HSG_V2C019,CASTpFold,1HSG_CASTpFold_U012,738,12,true,12,1
1SHL,1SHL_V2C001,CASTpFold,1SHL_CASTpFold_U001,745,1,true,1,1
1SHL,1SHL_V2C001,CavityPlus,1SHL_CavityPlus_U001,1457,Cavity_1,true,Cavity_1,1
1SHL,1SHL_V2C001,DoGSite3,1SHL_DoGSite3_U002,465,P_2,true,P_2,1
1SHL,1SHL_V2C001,DoGSiteScorer,1SHL_DoGSiteScorer_U006,61,P_3,true,P_3,1
1SHL,1SHL_V2C001,SiteMap,1SHL_SiteMap_U002,1651,SM02_site_3,true,SM02_site_3,1
1SHL,1SHL_V2C002,CASTpFold,1SHL_CASTpFold_U015,759,15,false,33,0
1SHL,1SHL_V2C002,CASTpFold,1SHL_CASTpFold_U029,773,29,false,33,0
1SHL,1SHL_V2C002,CASTpFold,1SHL_CASTpFold_U030,775,31,false,33,0
1SHL,1SHL_V2C002,CASTpFold,1SHL_CASTpFold_U032,777,33,true,33,1
1SHL,1SHL_V2C002,CavityPlus,1SHL_CavityPlus_U002,1458,Cavity_2,true,Cavity_2,1
1SHL,1SHL_V2C002,DoGSite3,1SHL_DoGSite3_U001,464,P_1,true,P_1,1
1SHL,1SHL_V2C002,DoGSiteScorer,1SHL_DoGSiteScorer_U003,55,P_1,true,P_1,1
1SHL,1SHL_V2C002,DoGSiteScorer,1SHL_DoGSiteScorer_U003,56,P_1_0,false,P_1,0
1SHL,1SHL_V2C002,SiteMap,1SHL_SiteMap_U001,1650,SM01_site_1,true,SM01_site_1,1
1SHL,1SHL_V2C003,CASTpFold,1SHL_CASTpFold_U004,748,4,true,4,1
1SHL,1SHL_V2C003,CASTpFold,1SHL_CASTpFold_U004,784,40,false,4,0
1SHL,1SHL_V2C003,CavityPlus,1SHL_CavityPlus_U004,1460,Cavity_4,false,Cavity_6,0
1SHL,1SHL_V2C003,CavityPlus,1SHL_CavityPlus_U006,1462,Cavity_6,true,Cavity_6,1
1SHL,1SHL_V2C003,DoGSite3,1SHL_DoGSite3_U003,466,P_3,true,P_3,1
1SHL,1SHL_V2C003,DoGSiteScorer,1SHL_DoGSiteScorer_U007,62,P_4,false,P_11,0
1SHL,1SHL_V2C003,DoGSiteScorer,1SHL_DoGSiteScorer_U016,77,P_11,true,P_11,1
1SHL,1SHL_V2C003,SiteMap,1SHL_SiteMap_U004,1653,SM04_site_5,true,SM04_site_5,1
1SHL,1SHL_V2C004,CASTpFold,1SHL_CASTpFold_U003,747,3,true,3,1
1SHL,1SHL_V2C004,CASTpFold,1SHL_CASTpFold_U020,764,20,false,3,0
1SHL,1SHL_V2C004,CASTpFold,1SHL_CASTpFold_U027,771,27,false,3,0
1SHL,1SHL_V2C004,CASTpFold,1SHL_CASTpFold_U033,778,34,false,3,0
1SHL,1SHL_V2C004,CASTpFold,1SHL_CASTpFold_U040,786,42,false,3,0
1SHL,1SHL_V2C004,CavityPlus,1SHL_CavityPlus_U008,1464,Cavity_8,true,Cavity_8,1
1SHL,1SHL_V2C004,DoGSite3,1SHL_DoGSite3_U005,468,P_5,true,P_5,1
1SHL,1SHL_V2C004,DoGSiteScorer,1SHL_DoGSiteScorer_U012,72,P_8,true,P_8,1
1SHL,1SHL_V2C004,SiteMap,1SHL_SiteMap_U005,1654,SM05_site_4,true,SM05_site_4,1
1SHL,1SHL_V2C005,CASTpFold,1SHL_CASTpFold_U005,749,5,true,5,1
1SHL,1SHL_V2C005,CASTpFold,1SHL_CASTpFold_U014,758,14,false,5,0
1SHL,1SHL_V2C005,CavityPlus,1SHL_CavityPlus_U005,1461,Cavity_5,true,Cavity_5,1
1SHL,1SHL_V2C005,DoGSite3,1SHL_DoGSite3_U006,469,P_6,true,P_6,1
1SHL,1SHL_V2C005,DoGSiteScorer,1SHL_DoGSiteScorer_U001,52,P_0,true,P_0,1
1SHL,1SHL_V2C005,DoGSiteScorer,1SHL_DoGSiteScorer_U001,53,P_0_0,false,P_0,0
1SHL,1SHL_V2C005,SiteMap,1SHL_SiteMap_U003,1652,SM03_site_2,true,SM03_site_2,1
1SHL,1SHL_V2C006,CASTpFold,1SHL_CASTpFold_U008,752,8,true,8,1
1SHL,1SHL_V2C006,CASTpFold,1SHL_CASTpFold_U008,774,30,false,8,0
1SHL,1SHL_V2C006,CASTpFold,1SHL_CASTpFold_U038,783,39,false,8,0
1SHL,1SHL_V2C006,DoGSite3,1SHL_DoGSite3_U007,470,P_7,true,P_7,1
1SHL,1SHL_V2C006,DoGSiteScorer,1SHL_DoGSiteScorer_U005,58,P_2,true,P_2,1
1SHL,1SHL_V2C006,DoGSiteScorer,1SHL_DoGSiteScorer_U005,59,P_2_0,false,P_2,0
1SHL,1SHL_V2C006,DoGSiteScorer,1SHL_DoGSiteScorer_U005,60,P_2_1,false,P_2,0
1SHL,1SHL_V2C007,CASTpFold,1SHL_CASTpFold_U013,757,13,false,16,0
1SHL,1SHL_V2C007,CASTpFold,1SHL_CASTpFold_U016,760,16,true,16,1
1SHL,1SHL_V2C007,DoGSite3,1SHL_DoGSite3_U004,467,P_4,true,P_4,1
1SHL,1SHL_V2C007,DoGSiteScorer,1SHL_DoGSiteScorer_U015,76,P_10,true,P_10,1
1SHL,1SHL_V2C008,CASTpFold,1SHL_CASTpFold_U009,753,9,true,9,1
1SHL,1SHL_V2C008,CavityPlus,1SHL_CavityPlus_U003,1459,Cavity_3,true,Cavity_3,1
1SHL,1SHL_V2C008,DoGSiteScorer,1SHL_DoGSiteScorer_U008,63,P_5,true,P_5,1
1SHL,1SHL_V2C008,DoGSiteScorer,1SHL_DoGSiteScorer_U008,64,P_5_0,false,P_5,0
1SHL,1SHL_V2C008,DoGSiteScorer,1SHL_DoGSiteScorer_U008,65,P_5_1,false,P_5,0
1SHL,1SHL_V2C009,CASTpFold,1SHL_CASTpFold_U036,781,37,true,37,1
1SHL,1SHL_V2C009,DoGSiteScorer,1SHL_DoGSiteScorer_U014,75,P_9_1,true,P_9_1,1
1SHL,1SHL_V2C010,CASTpFold,1SHL_CASTpFold_U011,755,11,true,11,1
1SHL,1SHL_V2C010,DoGSite3,1SHL_DoGSite3_U008,471,P_8,true,P_8,1
1SHL,1SHL_V2C011,CASTpFold,1SHL_CASTpFold_U017,761,17,true,17,1
1SHL,1SHL_V2C011,CASTpFold,1SHL_CASTpFold_U028,772,28,false,17,0
1SHL,1SHL_V2C011,CASTpFold,1SHL_CASTpFold_U037,782,38,false,17,0
1SHL,1SHL_V2C011,DoGSiteScorer,1SHL_DoGSiteScorer_U004,57,P_1_1,true,P_1_1,1
1SHL,1SHL_V2C012,CASTpFold,1SHL_CASTpFold_U019,763,19,true,19,1
1SHL,1SHL_V2C012,CASTpFold,1SHL_CASTpFold_U021,765,21,false,19,0
1SHL,1SHL_V2C012,CASTpFold,1SHL_CASTpFold_U022,766,22,false,19,0
1SHL,1SHL_V2C012,CASTpFold,1SHL_CASTpFold_U025,769,25,false,19,0
1SHL,1SHL_V2C012,DoGSiteScorer,1SHL_DoGSiteScorer_U010,69,P_7,false,P_7_1,0
1SHL,1SHL_V2C012,DoGSiteScorer,1SHL_DoGSiteScorer_U010,70,P_7_0,false,P_7_1,0
1SHL,1SHL_V2C012,DoGSiteScorer,1SHL_DoGSiteScorer_U011,71,P_7_1,true,P_7_1,1
1SHL,1SHL_V2C013,CASTpFold,1SHL_CASTpFold_U007,751,7,true,7,1
1SHL,1SHL_V2C013,CASTpFold,1SHL_CASTpFold_U026,770,26,false,7,0
1SHL,1SHL_V2C013,DoGSiteScorer,1SHL_DoGSiteScorer_U002,54,P_0_1,true,P_0_1,1
1SHL,1SHL_V2C014,CASTpFold,1SHL_CASTpFold_U031,776,32,true,32,1
1SHL,1SHL_V2C015,CASTpFold,1SHL_CASTpFold_U039,785,41,true,41,1
1SHL,1SHL_V2C016,CASTpFold,1SHL_CASTpFold_U002,746,2,true,2,1
1SHL,1SHL_V2C017,DoGSiteScorer,1SHL_DoGSiteScorer_U013,73,P_9,true,P_9,1
1SHL,1SHL_V2C017,DoGSiteScorer,1SHL_DoGSiteScorer_U013,74,P_9_0,false,P_9,0
1SHL,1SHL_V2C018,CASTpFold,1SHL_CASTpFold_U034,779,35,true,35,1
1SHL,1SHL_V2C019,CavityPlus,1SHL_CavityPlus_U007,1463,Cavity_7,true,Cavity_7,1
1SHL,1SHL_V2C020,CASTpFold,1SHL_CASTpFold_U018,762,18,true,18,1
1SHL,1SHL_V2C021,CASTpFold,1SHL_CASTpFold_U012,756,12,true,12,1
1SHL,1SHL_V2C022,CASTpFold,1SHL_CASTpFold_U006,750,6,true,6,1
1SHL,1SHL_V2C023,CASTpFold,1SHL_CASTpFold_U024,768,24,true,24,1
1SHL,1SHL_V2C024,CASTpFold,1SHL_CASTpFold_U035,780,36,true,36,1
1SHL,1SHL_V2C025,CASTpFold,1SHL_CASTpFold_U010,754,10,true,10,1
1SHL,1SHL_V2C026,DoGSiteScorer,1SHL_DoGSiteScorer_U009,66,P_6,true,P_6,1
1SHL,1SHL_V2C026,DoGSiteScorer,1SHL_DoGSiteScorer_U009,67,P_6_0,false,P_6,0
1SHL,1SHL_V2C026,DoGSiteScorer,1SHL_DoGSiteScorer_U009,68,P_6_1,false,P_6,0
1SHL,1SHL_V2C027,CASTpFold,1SHL_CASTpFold_U023,767,23,true,23,1
1TCO,1TCO_V2C001,CASTpFold,1TCO_CASTpFold_U007,793,7,true,7,1
1TCO,1TCO_V2C001,CASTpFold,1TCO_CASTpFold_U007,845,59,false,7,0
1TCO,1TCO_V2C001,CavityPlus,1TCO_CavityPlus_U011,1476,Cavity_12,true,Cavity_12,1
1TCO,1TCO_V2C001,DoGSite3,1TCO_DoGSite3_U007,479,P_6,true,P_6,1
1TCO,1TCO_V2C001,DoGSiteScorer,1TCO_DoGSiteScorer_U020,103,P_6,true,P_6,1
1TCO,1TCO_V2C001,DoGSiteScorer,1TCO_DoGSiteScorer_U020,104,P_6_0,false,P_6,0
1TCO,1TCO_V2C001,DoGSiteScorer,1TCO_DoGSiteScorer_U021,105,P_6_1,false,P_6,0
1TCO,1TCO_V2C001,SiteMap,1TCO_SiteMap_U009,1663,SM09_compact_site_10,true,SM09_compact_site_10,1
1TCO,1TCO_V2C002,CASTpFold,1TCO_CASTpFold_U005,791,5,true,5,1
1TCO,1TCO_V2C002,CASTpFold,1TCO_CASTpFold_U071,859,73,false,5,0
